"id","min_datetime","max_datetime","variable","n_obs","n","mean","median","min","q01","q25","q75","q99","max"
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CDOM_C6P",206389,202544,50.4606,46.36,1.52,1.78,39.62,67.09,124.191,131.53
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CDOM_C6P_turb",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CDOM_C6P_turb",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CDOM_C6P_turb",114323,111563,54.1017,50.3974,0.638105,2.09662,41.2275,66.9707,105.273,110.616
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CDOM_C6P_turb",172829,162909,46.8044,45.1355,0,6.06929,24.6193,59.4436,286.992,310.364
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CDOM_C6P_turb",206389,202316,55.019,54.8388,1.43094,1.67433,46.9097,70.2546,121.291,128.474
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CDOM_C6P_wt",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CDOM_C6P_wt",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CDOM_C6P_wt",114323,111546,50.6703,44.6037,0.20875,2.09321,35.6523,64.7786,104.149,111.196
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CDOM_C6P_wt",172829,163062,33.9414,28.3221,0,4.8646,16.9243,48.657,90.0003,93.4423
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CDOM_C6P_wt",206389,202541,50.3089,46.9969,1.47201,1.7218,40.515,67.1607,118.901,125.806
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CH4Sat",129316,128306,10386.4,5619.55,107.24,2754.92,4469.8,9818.29,69149.1,71773.3
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CH4Sat",132320,131871,21629.7,14562.2,647.472,1978.26,8353.04,24527.3,107782,129586
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CH4Sat",114323,110163,7933.73,7055.26,168.411,1246.31,4675.56,10132.9,27182.9,36426
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CH4Sat",172829,165002,10562.7,3912.97,539.037,1838.79,2914.67,10987.2,67002.9,78084.6
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CH4Sat",206389,196756,39879.9,17694.4,2011.52,3548.18,10548.7,32187.7,292697,426699
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CH4_Dry",129316,128714,198.337,107.327,2.04828,52.6222,85.3738,187.514,1320.45,1370.87
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CH4_Dry",132320,132295,413.047,278.102,12.3667,37.7878,159.544,468.439,2058.6,2475.1
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CH4_Dry",114323,111658,151.679,134.726,3.21665,24.0879,89.328,193.572,519.753,695.737
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CH4_Dry",172829,167415,201.587,74.7486,10.2956,35.1708,55.704,209.339,1280.65,1491.42
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CH4_Dry",206389,200570,764.847,337.942,38.42,67.8679,201.381,616.374,5599.51,8149.95
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CH4uM",129316,128306,0.347096,0.188621,0.00364257,0.0918522,0.146247,0.323447,2.34459,2.43331
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CH4uM",132320,131871,0.555068,0.370689,0.0166083,0.0485857,0.208638,0.614587,2.88069,3.43379
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CH4uM",114323,110162,0.266155,0.242393,0.00561681,0.0408482,0.163574,0.341328,0.863473,1.14454
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CH4uM",172829,165002,0.376991,0.133543,0.0193345,0.0636088,0.102919,0.414739,2.32947,2.69668
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CH4uM",206389,196756,1.07745,0.459813,0.0517082,0.0902913,0.268051,0.836023,8.14132,11.8883
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CHL_a_C6P",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CHL_a_C6P",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CHL_a_C6P",114323,111477,6.14387,5.44,0.7,0.99,2.49,7.63,29.57,52.94
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CHL_a_C6P",172829,162724,8.01597,7.62,0.57,0.96,5.92,9.2,38.6377,59.55
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CHL_a_C6P",206389,202454,9.47061,7.47,0.24,0.36,3.11,10.73,69.45,101.33
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CHL_a_C6P_wt",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CHL_a_C6P_wt",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CHL_a_C6P_wt",114323,111794,5.42454,4.79461,0.621946,0.878745,2.21513,6.69675,26.408,47.1458
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CHL_a_C6P_wt",172829,163125,6.99264,6.64521,0.474052,0.810948,5.1817,8.03925,33.1152,51.0983
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CHL_a_C6P_wt",206389,202562,9.57953,7.50455,0.232086,0.348432,3.06638,10.8633,70.0141,101.553
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CO2Sat",129316,128297,503.88,342.466,47.3964,90.0135,240.762,568.25,2109.46,2685.05
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CO2Sat",132320,131871,552.004,507.62,32.8883,46.9023,295.958,711.218,1779.69,1969.81
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CO2Sat",114323,110163,353.981,233.244,47.0905,64.9335,202.431,276.941,1710.91,1930.78
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CO2Sat",172829,165000,517.714,254.291,52.7912,78.7517,225.544,584.608,2628.19,3660.22
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CO2Sat",206389,196754,587.474,457.957,19.1303,38.4734,265.931,694.354,2260.87,2610.53
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CO2_Dry",129316,128679,2015.55,1370.16,189.586,360.003,963.035,2273.1,8442.49,10740.2
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CO2_Dry",132320,132308,2208.05,2030.47,131.553,187.515,1183.82,2844.85,7119.04,7879.24
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CO2_Dry",114323,111661,1422.57,933.097,188.362,260.505,809.236,1109.75,6848.67,7723.13
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CO2_Dry",172829,167395,2071.29,1016.8,211.165,315.125,902.159,2335.71,10514.3,14640.9
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CO2_Dry",206389,200533,2350.9,1831.42,76.5214,153.598,1065.86,2783.29,9041.79,10442.1
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"CO2uM",129316,128298,96.7308,65.6225,9.3512,16.8964,45.7475,109.432,402.196,510.763
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"CO2uM",132320,131871,70.8978,62.7047,3.90864,5.66233,36.7942,93.9961,247.703,262.235
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"CO2uM",114323,110163,66.7232,46.7921,8.99406,12.4908,39.1863,53.2913,289.323,313.343
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"CO2uM",172829,164999,108.745,53.0895,11.7928,17.8744,46.5241,125.131,527.814,720.036
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"CO2uM",206389,196754,80.5328,58.0915,2.24604,4.70662,35.1669,92.818,337.984,391.133
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"FP_BlueGreen",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"FP_BlueGreen",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"FP_BlueGreen",114323,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"FP_BlueGreen",172829,23975,1.09424,0.76653,0,0,0.0651275,1.48015,4.84405,5.6729
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"FP_BlueGreen",206389,5145,3.82672,2.4176,0,0.621943,1.9447,4.0984,29.8613,51.283
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"FP_Cryptophyta",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"FP_Cryptophyta",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"FP_Cryptophyta",114323,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"FP_Cryptophyta",172829,23975,0.0108961,0,0,0,0,0,0.360593,2.5012
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"FP_Cryptophyta",206389,5145,0.704777,0.38677,0,0,0,0.84385,8.21682,21.391
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"FP_Diatoms",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"FP_Diatoms",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"FP_Diatoms",114323,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"FP_Diatoms",172829,23975,9.13295,7.5371,0,0,5.26985,11.169,46.5692,59.937
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"FP_Diatoms",206389,5145,8.36523,3.8678,0,0,0.97812,9.1263,106.564,138.76
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"FP_GreenAlgae",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"FP_GreenAlgae",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"FP_GreenAlgae",114323,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"FP_GreenAlgae",172829,23975,6.17551,5.3237,0,0,2.139,8.6848,45.0891,55.31
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"FP_GreenAlgae",206389,5145,6.03386,1.7497,0,0,0,5.5054,91.7302,132.02
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"FP_Trans",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"FP_Trans",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"FP_Trans",114323,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"FP_Trans",172829,23975,39.5417,38.99,0.41,0.5874,25.155,53.865,86.8726,88.9
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"FP_Trans",206389,5145,64.6355,70.65,7.4,8.1844,42.98,83.26,105.91,106.22
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"FP_YellowSubs",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"FP_YellowSubs",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"FP_YellowSubs",114323,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"FP_YellowSubs",172829,23975,1.89215,2.1093,0,0,1.59635,2.3281,2.9677,4.2001
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"FP_YellowSubs",206389,5145,2.16528,2.1884,0,0,1.9242,2.6292,5.00302,7.0401
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Fluorescein",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Fluorescein",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Fluorescein",114323,111794,40.1401,40.78,2.87,5.23,38.42,43.9,54.72,144.88
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Fluorescein",172829,163125,52.0107,48.22,2,11.29,36.49,63.65,123.64,154.94
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Fluorescein",206389,202561,41.4377,47.1,0,1.4,36.7,51.7,69.7,83.2
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"Fluorescein_wt",129316,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"Fluorescein_wt",132320,0,NA,NA,Inf,NA,NA,NA,NA,-Inf
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"Fluorescein_wt",114323,111794,36.0274,36.5847,2.57374,4.70547,34.5201,39.3635,49.3461,127.678
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"Fluorescein_wt",172829,163125,45.8635,42.3289,1.79615,10.1289,32.5982,56.1769,108.157,135.597
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"Fluorescein_wt",206389,202562,41.5282,47.7969,0,1.35926,37.31,51.7884,69.5638,82.5241
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"H2O",129316,128757,12463.2,12313.3,501.435,2945.28,10420.2,15086,21108.9,22884
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"H2O",132320,132320,29930.7,29859.5,5019.96,20399.9,27208.6,32512.8,39365.4,45155.4
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"H2O",114323,111677,13291.9,12100.9,5005.47,6270.47,8287.11,17571.8,25607.3,27286.9
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"H2O",172829,167488,13572,13664.1,6432.37,7089.39,10786.6,16287.4,22987,33810.2
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"H2O",206389,200616,29845,30835.4,514.31,8690.02,27141,34285,39404.4,42113.5
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"NO3_mgL",129316,6169,4.03012,4.151,0.445,0.456,3.393,4.373,10.23,10.37
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"NO3_mgL",132320,6720,2.3523,1.896,0.094,0.168,1.505,3.15,6.02481,7.139
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"NO3_mgL",114323,9677,3.55123,3.323,0.173,0.177,2.999,4.007,8.5924,10.44
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"NO3_mgL",172829,14541,4.97901,5.269,0.363,0.424,4.125,5.99,9.546,11.04
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"NO3_mgL",206389,13321,2.12223,2.065,0.12,0.162,0.972,3.102,5.45,5.813
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"NO3_uM",129316,6169,287.729,296.4,31.78,32.5368,242.2,312.2,730.532,740.4
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"NO3_uM",132320,6720,167.942,135.4,6.72,12,107.5,224.9,430.181,509.7
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"NO3_uM",114323,9675,253.517,237.3,12.31,12.61,214.1,286.05,613.26,745.2
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"NO3_uM",172829,14540,355.484,376.2,25.91,30.28,294.725,427.7,681.383,788.5
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"NO3_uM",206389,13321,151.517,147.4,8.59,11.53,69.4,221.4,389.1,415
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"ODO_mgL",129316,128876,10.1314,10.23,7.66,7.78,9.46,10.6,14.57,16.75
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"ODO_mgL",132320,131879,7.54861,7.18,4.78,4.91,6.51,8.35,14.69,16.82
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"ODO_mgL",114323,112768,10.1661,10.31,5.77,6.24,9.83,10.73,14.22,15.77
"Mar_2023",2023-03-29 21:35:00,2023-04-05 21:15:00,"ODO_mgL",172829,170270,10.9031,10.78,8.07,8.25,10.4,11.32,15.24,17.18
"Jul_2023",2023-07-10 18:44:00,2023-07-19 19:59:00,"ODO_mgL",206389,202452,7.38125,7.51,0.46,0.5,6.26,8.26,14.53,22
"May_2022",2022-05-02 22:21:00,2022-05-07 19:51:00,"ODO_percent",129316,128876,96.4404,98,72.39,73.61,91.2,100.6,140.4,169.7
"Aug_2022",2022-08-08 21:32:00,2022-08-13 19:34:00,"ODO_percent",132320,131879,94.5217,90.5,58.59,60.86,81.8,106.6,191.2,221.1
"Nov_2022",2022-11-07 20:59:00,2022-11-14 18:40:00,"ODO_percent",114323,112768,95.2985,95.2,58.06,63.05,91,101.5,136.5,150.1
